Prompt,Answer,State,Person
What is the capital of the state that the secretary of state of the U.S. in 2009 was born in?,Springfield,Illinois,Hillary Clinton
What is the capital of the state that the first U.S. secretary of the treasury died in?,Albany,New York,Alexander Hamilton
What is the capital of the state that the U.S. president in 1905 was born in?,Albany,New York,Theodore Roosevelt
What is the capital of the state where the author of Silent Spring was born?,Harrisburg,Pennsylvania,Rachel Carson
What is the capital of the state where the author of I Know Why the Caged Bird Sings was born?,Jefferson City,Missouri,Maya Angelou
What is the capital of the state where the first American woman to fly in space was born?,Sacramento,California,Sally Ride
What is the capital of the state where the author of The Bluest Eye was born?,Columbus,Ohio,Toni Morrison
What is the capital of the state where the first person to walk on the moon was born?,Columbus,Ohio,Neil Armstrong
What is the capital of the state where the author of To Kill a Mockingbird was born?,Montgomery,Alabama,Harper Lee
What is the capital of the state where the founder of Microsoft was born?,Olympia,Washington,Bill Gates
What is the capital of the state where the first African American U.S. Supreme Court justice was born?,Baltimore,Maryland,Thurgood Marshall
What is the capital of the state where the author of On the Road was born?,Boston,Massachusetts,Jack Kerouac
What is the capital of the state where the first African American MLB player was born?,Atlanta,Georgia,Jackie Robinson
What is the capital of the state where the author of Little Women was born?,Harrisburg,Pennsylvania,Louisa May Alcott
What is the capital of the state where the author of The Grapes of Wrath was born?,Sacramento,California,John Steinbeck
What is the capital of the state where the author of The Adventures of Huckleberry Finn was born?,Jefferson City,Missouri,Mark Twain
What is the capital of the state where the founder of the American Red Cross was born?,Boston,Massachusetts,Clara Barton
What is the capital of the state where the inventor of the light bulb was born?,Columbus,Ohio,Thomas Edison
What is the capital of the state where the first woman to run for U.S. president was born?,Albany,New York,Victoria Woodhull
What is the capital of the state where the author of The Sun Also Rises was born?,Springfield,Illinois,Ernest Hemingway
What is the capital of the state where the first American woman doctor was born?,Albany,New York,Elizabeth Blackwell
What is the capital of the state where the inventor of the telegraph was born?,Boston,Massachusetts,Samuel Morse
What is the capital of the state where the author of Walden was born?,Boston,Massachusetts,Henry David Thoreau
What is the capital of the state where the first African American to win a Nobel Prize was born?,Atlanta,Georgia,Ralph Bunche
What is the capital of the state where the first woman elected to Congress was born?,Helena,Montana,Jeannette Rankin
What is the capital of the state where the author of Gone with the Wind was born?,Atlanta,Georgia,Margaret Mitchell
What is the capital of the state where the author of Moby Dick was born?,Albany,New York,Herman Melville
What is the capital of the state where the author of The Scarlet Letter was born?,Boston,Massachusetts,Nathaniel Hawthorne
What is the capital of the state where the author of The Sound and the Fury was born?,Jackson,Mississippi,William Faulkner
What is the capital of the state where the first American woman to win an Olympic gold medal was born?,Sacramento,California,Margaret Abbott
What is the capital of the state where the author of Carrie was born?,Augusta,Maine,Stephen King
What is the capital of the state where the author of Invisible Man was born?,Oklahoma City,Oklahoma,Ralph Ellison
What is the capital of the state where the author of Their Eyes Were Watching God was born?,Tallahassee,Florida,Zora Neale Hurston
What is the capital of the state where the author of A Streetcar Named Desire was born?,Jackson,Mississippi,Tennessee Williams
What is the capital of the state where the first woman governor in the United States was born?,Cheyenne,Wyoming,Nellie Ross
What is the capital of the state where the author of Slaughterhouse Five was born?,Indianapolis,Indiana,Kurt Vonnegut
What is the capital of the state where the author of Fahrenheit 451 was born?,Springfield,Illinois,Ray Bradbury
What is the capital of the state where the author of The Call of the Wild was born?,Sacramento,California,Jack London
What is the capital of the state where the author of One Flew Over the Cuckoo's Nest was born?,Salem,Oregon,Ken Kesey
What is the capital of the state where the author of The Outsiders was born?,Oklahoma City,Oklahoma,Susan Hinton
What is the capital of the state where the author of East of Eden was born?,Sacramento,California,John Steinbeck
What is the capital of the state where the author of The Color Purple was born?,Atlanta,Georgia,Alice Walker
What is the capital of the state where the first American woman to win a Pulitzer Prize was born?,Albany,New York,Edith Wharton
What is the capital of the state where the author of Catch-22 was born?,Albany,New York,Joseph Heller
What is the capital of the state where the author of In Cold Blood was born?,Baton Rouge,Louisiana,Truman Capote
What is the capital of the state where the author of Dune was born?,Olympia,Washington,Frank Herbert
What is the capital of the state where the author of Fear and Loathing in Las Vegas was born?,Frankfort,Kentucky,Hunter Thompson
What is the capital of the state where the first woman to receive a medical degree in America was born?,Albany,New York,Elizabeth Blackwell
What is the capital of the state where the first openly gay elected official in California was born?,Albany,New York,Harvey Milk
